B,G,R,TONE
124,164,217,fair
151,189,253,fair
157,194,254,fair
157,167,231,fair
149,164,227,fair
165,181,227,fair
134,167,217,fair
157,168,250,fair
130,169,221,fair
123,165,218,fair
149,187,251,fair
168,185,234,fair
125,170,221,fair
133,165,230,fair
129,165,219,fair
168,185,241,fair
150,166,212,fair
148,179,242,fair
165,179,228,fair
171,184,236,fair
134,173,225,fair
149,187,251,fair
164,180,226,fair
145,180,230,fair
149,186,254,fair
169,185,238,fair
170,182,236,fair
157,176,219,fair
146,179,224,fair
166,180,229,fair
139,172,218,fair
152,190,254,fair
146,179,228,fair
141,177,231,fair
147,182,232,fair
144,183,252,fair
165,183,236,fair
128,165,217,fair
139,174,230,fair
170,185,234,fair
162,177,226,fair
127,167,216,fair
165,183,242,fair
161,182,220,fair
166,184,243,fair
147,184,252,fair
135,172,224,fair
143,182,251,fair
140,177,233,fair
144,166,224,fair
150,188,253,fair
157,184,235,fair
132,164,230,fair
168,182,235,fair
167,181,234,fair
127,167,220,fair
147,187,252,fair
157,176,221,fair
169,185,238,fair
149,182,227,fair
164,175,232,fair
170,184,237,fair
144,180,234,fair
170,182,230,fair
131,165,231,fair
141,181,246,fair
167,181,230,fair
148,171,233,fair
143,165,223,fair
152,190,254,fair
169,183,235,fair
141,178,238,fair
131,171,219,fair
152,170,233,fair
123,168,225,fair
169,185,231,fair
150,186,250,fair
149,190,252,fair
167,178,222,fair
150,188,252,fair
166,180,232,fair
127,166,218,fair
140,165,229,fair
147,187,252,fair
128,168,221,fair
133,177,241,fair
133,176,225,fair
168,181,233,fair
167,183,226,fair
157,187,246,fair
168,184,237,fair
158,178,233,fair
161,175,224,fair
155,192,254,fair
168,183,232,fair
157,174,231,fair
150,188,252,fair
171,187,234,fair
140,180,245,fair
141,178,222,fair
163,172,236,fair
135,172,222,fair
161,188,244,fair
144,171,235,fair
149,190,252,fair
171,187,230,fair
140,167,224,fair
136,173,231,fair
126,164,218,fair
168,182,230,fair
133,165,218,fair
147,188,250,fair
167,183,236,fair
149,188,250,fair
151,189,253,fair
149,190,253,fair
147,165,230,fair
167,178,235,fair
170,186,233,fair
167,183,236,fair
169,184,230,fair
137,174,218,fair
154,173,241,fair
159,176,219,fair
150,191,254,fair
142,167,229,fair
146,166,231,fair
137,175,229,fair
151,177,223,fair
158,192,228,fair
143,171,236,fair
149,167,232,fair
139,179,244,fair
169,184,233,fair
138,175,219,fair
152,164,230,fair
153,191,233,fair
149,189,254,fair
146,190,251,fair
167,180,236,fair
163,182,239,fair
127,170,219,fair
146,188,253,fair
165,176,233,fair
142,167,229,fair
169,185,238,fair
150,188,252,fair
170,183,235,fair
132,174,216,fair
144,166,224,fair
140,174,227,fair
150,174,234,fair
123,166,217,fair
160,174,223,fair
171,187,229,fair
139,179,244,fair
141,181,246,fair
146,185,254,fair
165,180,229,fair
168,183,232,fair
130,175,243,fair
142,166,232,fair
148,184,230,fair
163,193,242,fair
145,177,220,fair
151,189,253,fair
168,179,237,fair
151,170,231,fair
134,176,221,fair
159,175,228,fair
147,187,252,fair
170,186,228,fair
142,173,218,fair
168,179,231,fair
156,174,221,fair
166,183,239,fair
164,174,228,fair
149,168,213,fair
143,165,230,fair
135,179,243,fair
158,176,235,fair
167,183,230,fair
157,178,233,fair
149,189,254,fair
166,180,228,fair
151,186,236,fair
141,181,246,fair
136,164,229,fair
139,178,222,fair
126,164,218,fair
129,168,220,fair
128,167,219,fair
156,176,231,fair
136,173,229,fair
152,190,254,fair
161,175,227,fair
144,188,249,fair
156,174,221,fair
152,188,228,fair
161,175,223,fair
139,174,218,fair
167,177,231,fair
140,179,234,fair
151,173,231,fair
147,185,250,fair
149,187,251,fair
171,187,240,fair
143,183,248,fair
162,182,237,fair
142,182,247,fair
165,181,227,fair
143,187,250,fair
126,168,235,fair
141,166,230,fair
128,164,228,fair
158,178,219,fair
163,181,234,fair
153,172,233,fair
136,179,242,fair
132,166,219,fair
146,190,251,fair
167,185,232,fair
141,165,231,fair
128,172,226,fair
138,164,230,fair
141,183,230,fair
154,194,253,fair
170,182,224,fair
166,180,233,fair
147,189,254,fair
152,190,254,fair
171,185,238,fair
145,165,236,fair
155,175,230,fair
128,171,228,fair
143,181,246,fair
140,175,219,fair
155,175,233,fair
131,170,222,fair
158,173,222,fair
129,168,220,fair
149,167,232,fair
170,184,232,fair
162,176,225,fair
156,176,231,fair
167,181,234,fair
126,164,218,fair
141,181,246,fair
143,175,228,fair
165,180,226,fair
127,166,218,fair
138,181,224,fair
167,181,229,fair
142,178,224,fair
144,180,228,fair
167,182,231,fair
171,188,231,fair
140,164,230,fair
165,181,234,fair
160,173,225,fair
146,186,245,fair
141,180,235,fair
152,190,254,fair
152,169,218,fair
134,176,219,fair
141,179,233,fair
148,183,233,fair
136,177,226,fair
168,182,224,fair
168,182,235,fair
140,167,231,fair
146,184,249,fair
148,166,231,fair
128,168,220,fair
135,175,227,fair
166,183,234,fair
164,177,233,fair
142,184,243,fair
148,183,247,fair
155,195,254,fair
154,164,228,fair
168,189,240,fair
149,170,231,fair
150,174,234,fair
129,168,220,fair
150,165,227,fair
126,165,217,fair
160,175,224,fair
158,168,228,fair
150,188,253,fair
145,188,251,fair
142,177,243,fair
159,166,229,fair
167,183,236,fair
147,187,252,fair
129,171,218,fair
165,182,225,fair
147,191,252,fair
159,171,225,fair
141,181,246,fair
140,175,248,fair
166,187,238,fair
140,178,250,fair
148,174,241,fair
161,196,229,fair
165,176,228,fair
153,169,216,fair
142,179,253,fair
160,178,225,fair
121,165,229,fair
169,182,238,fair
124,167,218,fair
136,179,222,fair
144,184,249,fair
125,165,218,fair
132,170,224,fair
150,184,244,fair
131,166,229,fair
143,177,231,fair
131,173,220,fair
153,171,230,fair
153,191,226,fair
146,183,251,fair
152,190,254,fair
147,187,252,fair
170,186,239,fair
167,181,234,fair
145,186,248,fair
168,184,237,fair
168,184,230,fair
136,166,231,fair
150,188,252,fair
160,177,220,fair
146,182,228,fair
165,181,234,fair
151,165,231,fair
139,179,244,fair
142,179,239,fair
147,184,236,fair
137,178,223,fair
139,166,230,fair
150,184,244,fair
